Machine,Operation,Sample Type,File Name,Duration (s)
M01,OP08,good,M01_Feb_2019_OP08_002.h5,36.6
M01,OP08,good,M01_Aug_2019_OP08_012.h5,38.4
M01,OP08,good,M01_Aug_2019_OP08_002.h5,38.912
M01,OP08,good,M01_Feb_2019_OP08_001.h5,37.8
M01,OP08,good,M01_Feb_2021_OP08_004.h5,38.912
M01,OP08,good,M01_Feb_2021_OP08_003.h5,38.912
M01,OP08,bad,M01_Feb_2019_OP08_000.h5,32.1155
M01,OP08,bad,M01_Feb_2019_OP08_002.h5,32.2955
M01,OP08,bad,M01_Feb_2019_OP08_001.h5,32.0905
M01,OP09,good,M01_Aug_2019_OP09_008.h5,106.496
M01,OP09,good,M01_Aug_2019_OP09_006.h5,103.452
M01,OP09,bad,M01_Aug_2019_OP09_000.h5,96.953
M01,OP06,good,M01_Feb_2021_OP06_003.h5,95.232
M01,OP06,good,M01_Feb_2019_OP06_000.h5,94.2
M01,OP06,good,M01_Feb_2020_OP06_002.h5,94.72
M01,OP06,good,M01_Feb_2021_OP06_001.h5,95.744
M01,OP06,good,M01_Feb_2021_OP06_000.h5,95.744
M01,OP06,good,M01_Feb_2020_OP06_000.h5,94.72
M01,OP06,good,M01_Feb_2020_OP06_003.h5,94.72
M01,OP06,good,M01_Feb_2019_OP06_001.h5,95.4
M01,OP06,bad,M01_Aug_2019_OP06_000.h5,85.078
M01,OP06,bad,M01_Aug_2021_OP06_000.h5,88.0
M01,OP06,bad,M01_Aug_2021_OP06_001.h5,80.0
M01,OP06,bad,M01_Aug_2021_OP06_002.h5,90.0
M01,OP04,good,M01_Feb_2021_OP04_011.h5,68.608
M01,OP04,good,M01_Feb_2021_OP04_010.h5,68.096
M01,OP04,good,M01_Aug_2019_OP04_014.h5,68.608
M01,OP04,good,M01_Aug_2019_OP04_010.h5,69.12
M01,OP04,bad,M01_Aug_2019_OP04_000.h5,33.865
M01,OP04,bad,M01_Feb_2019_OP04_000.h5,62.3905
M01,OP14,good,M01_Aug_2021_OP14_001.h5,32.768
M01,OP14,good,M01_Feb_2021_OP14_006.h5,35.328
M01,OP14,bad,M01_Feb_2019_OP14_000.h5,26.3055
