Machine,Operation,Sample Type,File Name,Duration (s)
M01,OP04,good,M01_Feb_2021_OP04_005.h5,68.608
M01,OP04,good,M01_Feb_2021_OP04_007.h5,68.608
M01,OP04,good,M01_Feb_2019_OP04_000.h5,69.0
M01,OP04,good,M01_Aug_2019_OP04_010.h5,69.12
M01,OP04,bad,M01_Aug_2019_OP04_000.h5,33.865
M01,OP04,bad,M01_Feb_2019_OP04_000.h5,62.3905
M01,OP01,good,M01_Feb_2021_OP01_005.h5,30.208
M01,OP01,good,M01_Feb_2021_OP01_007.h5,29.696
M01,OP01,good,M01_Feb_2019_OP01_001.h5,29.4
M01,OP01,good,M01_Feb_2021_OP01_000.h5,29.184
M01,OP01,bad,M01_Feb_2019_OP01_000.h5,23.5405
M01,OP01,bad,M01_Aug_2019_OP01_000.h5,19.4915
M01,OP07,good,M01_Aug_2019_OP07_015.h5,25.088
M01,OP07,good,M01_Aug_2019_OP07_010.h5,24.576
M01,OP07,good,M01_Feb_2020_OP07_003.h5,25.6
M01,OP07,good,M01_Feb_2021_OP07_011.h5,25.088
M01,OP07,good,M01_Feb_2021_OP07_000.h5,25.0
M01,OP07,good,M01_Feb_2020_OP07_002.h5,25.088
M01,OP07,good,M01_Aug_2019_OP07_011.h5,25.088
M01,OP07,good,M01_Aug_2019_OP07_000.h5,24.576
M01,OP07,bad,M01_Aug_2021_OP07_001.h5,23.0
M01,OP07,bad,M01_Aug_2021_OP07_000.h5,21.0
M01,OP07,bad,M01_Feb_2019_OP07_000.h5,18.7555
M01,OP07,bad,M01_Aug_2019_OP07_000.h5,16.0995
M01,OP10,good,M01_Feb_2020_OP10_000.h5,49.152
M01,OP10,good,M01_Feb_2019_OP10_000.h5,49.8
M01,OP10,good,M01_Aug_2019_OP10_007.h5,49.152
M01,OP10,good,M01_Feb_2021_OP10_000.h5,46.592
M01,OP10,good,M01_Aug_2019_OP10_000.h5,49.152
M01,OP10,good,M01_Aug_2019_OP10_008.h5,48.64
M01,OP10,good,M01_Aug_2019_OP10_005.h5,49.152
M01,OP10,good,M01_Aug_2019_OP10_003.h5,49.152
M01,OP10,bad,M01_Feb_2019_OP10_000.h5,41.7205
M01,OP10,bad,M01_Feb_2019_OP10_002.h5,43.0105
M01,OP10,bad,M01_Aug_2021_OP10_000.h5,40.0
M01,OP10,bad,M01_Feb_2019_OP10_001.h5,42.9155
M01,OP02,good,M01_Feb_2021_OP02_009.h5,41.984
M01,OP02,good,M01_Feb_2021_OP02_000.h5,44.544
M01,OP02,bad,M01_Feb_2019_OP02_000.h5,35.8555
M02,OP04,good,M02_Feb_2021_OP04_005.h5,68.096
M02,OP04,good,M02_Aug_2020_OP04_004.h5,67.584
M02,OP04,good,M02_Feb_2021_OP04_000.h5,68.096
M02,OP04,good,M02_Aug_2019_OP04_007.h5,67.584
M02,OP04,good,M02_Feb_2019_OP04_002.h5,67.8
M02,OP04,good,M02_Aug_2019_OP04_009.h5,67.072
M02,OP04,bad,M02_Feb_2019_OP04_000.h5,62.3655
M02,OP04,bad,M02_Feb_2019_OP04_002.h5,62.8755
M02,OP04,bad,M02_Aug_2019_OP04_000.h5,59.595
M02,OP01,good,M02_Aug_2019_OP01_013.h5,29.184
M02,OP01,good,M02_Aug_2019_OP01_002.h5,28.672
M02,OP01,good,M02_Feb_2021_OP01_001.h5,31.232
M02,OP01,good,M02_Feb_2021_OP01_007.h5,31.744
M02,OP01,good,M02_Feb_2021_OP01_000.h5,31.744
M02,OP01,good,M02_Feb_2019_OP01_002.h5,30.0
M02,OP01,bad,M02_Feb_2019_OP01_000.h5,23.4055
M02,OP01,bad,M02_Feb_2019_OP01_001.h5,23.2555
M02,OP01,bad,M02_Aug_2019_OP01_000.h5,21.6805
M02,OP07,good,M02_Aug_2019_OP07_012.h5,24.576
M02,OP07,good,M02_Feb_2020_OP07_006.h5,24.576
M02,OP07,good,M02_Feb_2020_OP07_002.h5,24.576
M02,OP07,good,M02_Aug_2019_OP07_007.h5,25.088
M02,OP07,good,M02_Feb_2019_OP07_002.h5,24.6
M02,OP07,good,M02_Feb_2020_OP07_003.h5,24.576
M02,OP07,bad,M02_Aug_2019_OP07_000.h5,17.2235
M02,OP07,bad,M02_Feb_2019_OP07_001.h5,18.8355
M02,OP07,bad,M02_Feb_2019_OP07_000.h5,18.7655
M02,OP10,good,M02_Aug_2019_OP10_015.h5,48.128
M02,OP10,good,M02_Aug_2019_OP10_003.h5,46.08
M02,OP10,good,M02_Feb_2021_OP10_008.h5,50.688
M02,OP10,good,M02_Feb_2021_OP10_010.h5,49.152
M02,OP10,bad,M02_Feb_2019_OP10_000.h5,42.7955
M02,OP10,bad,M02_Feb_2019_OP10_001.h5,42.8205
M02,OP02,good,M02_Feb_2020_OP02_000.h5,41.984
M02,OP02,good,M02_Aug_2019_OP02_002.h5,44.032
M02,OP02,good,M02_Aug_2019_OP02_015.h5,43.52
M02,OP02,good,M02_Feb_2019_OP02_000.h5,44.4
M02,OP02,bad,M02_Feb_2019_OP02_000.h5,36.1905
M02,OP02,bad,M02_Feb_2019_OP02_001.h5,37.8705
M03,OP04,good,M03_Aug_2019_OP04_019.h5,64.512
M03,OP04,good,M03_Feb_2020_OP04_010.h5,63.488
M03,OP04,good,M03_Aug_2019_OP04_015.h5,65.024
M03,OP04,good,M03_Aug_2019_OP04_002.h5,63.488
M03,OP04,bad,M03_Aug_2019_OP04_000.h5,57.003
M03,OP04,bad,M03_Feb_2021_OP04_000.h5,60.0
M03,OP01,good,M03_Aug_2020_OP01_001.h5,28.16
M03,OP01,good,M03_Aug_2019_OP01_007.h5,28.672
M03,OP01,good,M03_Aug_2019_OP01_010.h5,28.672
M03,OP01,good,M03_Feb_2020_OP01_008.h5,27.136
M03,OP01,bad,M03_Aug_2019_OP01_000.h5,17.4505
M03,OP01,bad,M03_Feb_2021_OP01_000.h5,22.0
M03,OP07,good,M03_Aug_2020_OP07_002.h5,24.576
M03,OP07,good,M03_Aug_2019_OP07_014.h5,25.088
M03,OP07,good,M03_Feb_2020_OP07_008.h5,24.576
M03,OP07,good,M03_Feb_2020_OP07_000.h5,24.576
M03,OP07,good,M03_Feb_2021_OP07_000.h5,25.088
M03,OP07,good,M03_Aug_2019_OP07_019.h5,23.552
M03,OP07,bad,M03_Feb_2021_OP07_000.h5,18.0
M03,OP07,bad,M03_Aug_2019_OP07_000.h5,14.736
M03,OP07,bad,M03_Aug_2021_OP07_000.h5,20.0
M03,OP10,good,M03_Aug_2021_OP10_001.h5,43.52
M03,OP10,good,M03_Feb_2020_OP10_005.h5,45.056
M03,OP10,bad,M03_Aug_2021_OP10_000.h5,45.0
M03,OP02,good,M03_Aug_2019_OP02_014.h5,43.52
M03,OP02,good,M03_Feb_2021_OP02_005.h5,41.984
M03,OP02,bad,M03_Feb_2021_OP02_000.h5,36.0
