Machine,Operation,Sample Type,File Name,Duration (s)
M01,OP04,good,M01_Feb_2019_OP04_000_window_6.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_4.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_10.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_8.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_5.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_9.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_2.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_7.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_4.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_6.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_8.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_11.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_3.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_8.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_6.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_2.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_0.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_5.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_8.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_6.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_1.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_11.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_10.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_3.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_7.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_7.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_3.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_0.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_4.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_1.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_9.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_11.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_2.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_7.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_9.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_4.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_0.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_5.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_0.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_10.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_2.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_3.h5,5.0
M01,OP04,good,M01_Feb_2019_OP04_000_window_1.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_5.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_10.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_007_window_1.h5,5.0
M01,OP04,good,M01_Aug_2019_OP04_010_window_9.h5,5.0
M01,OP04,good,M01_Feb_2021_OP04_005_window_11.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_6.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_10.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_9.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_8.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_11.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_3.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_0.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_1.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_5.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_0.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_2.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_3.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_7.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_4.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_5.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_2.h5,5.0
M01,OP04,bad,M01_Feb_2019_OP04_000_window_1.h5,5.0
M01,OP04,bad,M01_Aug_2019_OP04_000_window_4.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_005_window_3.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_000_window_3.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_000_window_0.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_000_window_2.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_007_window_3.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_005_window_2.h5,5.0
M01,OP01,good,M01_Feb_2021_OP01_000_window_1.h5,5.0
