Machine,Operation,Sample Type,File Name,Duration (s)
M01,OP01,good,M01_Aug_2019_OP01_004_window_0.h5,5.0
M01,OP01,good,M01_Aug_2019_OP01_004_window_1.h5,5.0
M01,OP01,good,M01_Aug_2019_OP01_004_window_2.h5,5.0
M01,OP01,good,M01_Aug_2019_OP01_004_window_3.h5,5.0
M01,OP01,good,M01_Aug_2019_OP01_004_window_4.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_000_window_0.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_000_window_1.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_000_window_2.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_000_window_3.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_0.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_1.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_2.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_3.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_4.h5,5.0
M01,OP01,good,M01_Feb_2019_OP01_004_window_5.h5,5.0
M01,OP01,good,M01_Feb_2020_OP01_000_window_0.h5,5.0
M01,OP01,good,M01_Feb_2020_OP01_000_window_1.h5,5.0
M01,OP01,good,M01_Feb_2020_OP01_000_window_2.h5,5.0
M01,OP01,good,M01_Feb_2020_OP01_000_window_3.h5,5.0
M01,OP01,good,M01_Feb_2020_OP01_000_window_4.h5,5.0
M01,OP01,bad,M01_Aug_2019_OP01_000_window_0.h5,5.0
M01,OP01,bad,M01_Aug_2019_OP01_000_window_1.h5,5.0
M01,OP01,bad,M01_Aug_2019_OP01_000_window_2.h5,5.0
M01,OP01,bad,M01_Feb_2019_OP01_000_window_0.h5,5.0
M01,OP01,bad,M01_Feb_2019_OP01_000_window_1.h5,5.0
M01,OP01,bad,M01_Feb_2019_OP01_000_window_2.h5,5.0
M01,OP01,bad,M01_Feb_2019_OP01_000_window_3.h5,5.0
M01,OP02,good,M01_Feb_2021_OP02_006_window_0.h5,5.0
M01,OP02,good,M01_Feb_2021_OP02_006_window_1.h5,5.0
M01,OP02,good,M01_Feb_2021_OP02_006_window_2.h5,5.0
M01,OP02,good,M01_Feb_2021_OP02_006_window_3.h5,5.0
M01,OP02,good,M01_Feb_2021_OP02_006_window_4.h5,5.0
